Reference area,Indicator,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,Mortality,719.1,698.3,692.2,665.7,690.8,639.9,662.3,716.7,670.5,663.5
Australia,Health Status,82.4,82.4,82.5,82.8,82.9,83.2,83.3,83.2,83.0,83.0
Austria,Mortality,834.0,795.9,808.3,804.1,784.1,844.3,842.7,817.3,772.3,764.7
Austria,Health Status,81.2,81.6,81.6,81.7,81.9,81.3,81.3,81.4,81.9,82.1
Belgium,Mortality,840.2,805.8,802.8,798.4,770.0,885.6,784.8,793.5,745.5,
Belgium,Health Status,80.9,81.3,81.4,81.5,81.8,80.8,81.7,81.7,82.3,82.4
Canada,Mortality,733.6,722.3,731.1,731.4,711.5,751.0,743.9,781.8,747.3,723.7
Canada,Health Status,81.9,82.0,81.9,81.9,82.2,81.6,81.5,81.1,81.7,82.2
Chile,Mortality,773.6,755.4,749.3,727.8,724.8,816.7,872.8,856.2,752.6,
Chile,Health Status,79.9,80.3,80.5,80.8,80.9,79.9,79.2,79.8,81.2,81.3
Colombia,Mortality,1050.5,1031.0,1027.9,1025.3,1023.7,1220.1,1400.8,1142.2,808.9,
Colombia,Health Status,75.4,75.7,75.9,75.3,75.5,74.4,74.2,74.9,76.3,76.4
Costa Rica,Mortality,747.8,771.4,764.7,750.7,861.1,774.0,883.8,813.8,842.5,
Costa Rica,Health Status,79.9,80.0,80.2,80.3,80.5,80.6,80.8,80.9,81.0,80.9
Czechia,Mortality,1051.8,997.6,1011.9,1005.4,982.8,1117.2,1199.0,1021.6,936.3,908.2
Czechia,Health Status,78.6,79.0,79.0,79.0,79.2,78.3,77.2,79.0,79.8,80.1
Denmark,Mortality,870.2,858.0,848.2,863.2,823.2,815.1,829.9,843.4,805.4,
Denmark,Health Status,80.7,80.9,81.1,81.0,81.4,81.5,81.4,81.3,81.7,82.0
Estonia,Mortality,1021.3,1012.0,992.3,986.9,946.1,962.7,1107.0,1005.3,929.0,898.7
Estonia,Health Status,77.7,77.8,78.2,78.4,78.8,78.8,77.2,78.1,78.9,79.4
Finland,Mortality,806.0,813.7,793.2,791.3,768.0,774.1,784.8,844.1,807.4,750.1
Finland,Health Status,81.4,81.3,81.5,81.6,81.9,81.8,81.8,81.2,81.6,82.2
France,Mortality,713.8,700.0,710.1,698.8,683.4,734.8,719.4,732.5,673.5,
France,Health Status,82.1,82.4,82.4,82.6,82.7,82.2,82.2,82.2,82.9,83.0
Germany,Mortality,874.8,845.9,850.5,859.6,829.8,850.0,856.8,866.1,856.3,
Germany,Health Status,80.6,80.9,81.0,80.9,81.2,81.0,80.7,80.5,80.9,81.2
Greece,Mortality,845.0,810.8,828.5,787.6,801.2,828.7,901.9,873.1,800.2,
Greece,Health Status,80.8,81.0,81.0,81.5,81.4,81.1,80.1,80.8,81.7,81.9
Hungary,Mortality,1270.0,1209.8,1242.2,1223.7,1197.0,1289.8,1419.5,1242.5,1187.1,1163.6
Hungary,Health Status,75.6,76.1,75.9,76.0,76.3,75.5,74.1,75.9,76.7,76.8
Iceland,Mortality,762.4,790.7,750.6,738.0,726.9,720.2,707.6,799.4,755.5,747.9
Iceland,Health Status,82.4,82.1,82.4,82.7,83.0,82.9,83.0,82.2,82.4,82.8
Ireland,Mortality,836.4,827.2,797.5,786.1,763.6,781.6,807.8,784.6,754.6,
Ireland,Health Status,81.4,81.6,82.0,82.0,82.5,82.3,82.1,82.4,82.7,83.1
Israel,Mortality,760.3,734.0,723.9,703.6,708.9,734.7,741.5,734.3,652.0,
Israel,Health Status,82.2,82.5,82.7,82.9,82.9,82.7,82.6,82.8,83.3,83.3
Italy,Mortality,752.0,707.0,729.2,704.6,692.8,802.6,758.7,750.7,697.2,
Italy,Health Status,82.4,83.0,82.8,83.1,83.4,82.2,82.6,82.8,83.3,83.7
Japan,Mortality,626.1,616.4,611.9,605.7,599.5,586.6,599.8,635.8,630.3,
Japan,Health Status,83.9,84.1,84.2,84.3,84.4,84.6,84.5,84.1,84.1,84.1
Korea,Mortality,730.7,710.5,690.7,688.2,645.9,635.8,631.8,713.7,644.7,
Korea,Health Status,82.1,82.4,82.7,82.7,83.3,83.5,83.6,82.7,83.5,83.7
Latvia,Mortality,1243.6,1234.6,1235.3,1230.5,1177.9,1217.7,1460.1,1296.2,1171.8,1098.9
Latvia,Health Status,74.7,74.8,74.8,75.0,75.7,75.4,73.2,74.5,75.6,76.4
Lithuania,Mortality,1265.1,1234.8,1191.8,1165.5,1117.3,1261.7,1383.9,1234.4,1050.5,1045.3
Lithuania,Health Status,74.4,74.8,75.7,75.9,76.4,75.2,74.3,75.8,77.4,77.5
Luxembourg,Mortality,737.0,717.9,728.8,708.1,691.6,737.3,702.9,675.8,651.6,641.9
