country,year,sex,measure,category,method,unit,value
Canada,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2023,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Canada,2024,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Costa Rica,2023,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Estonia,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Finland,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Finland,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Finland,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Finland,2023,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
France,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Greece,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Hungary,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Hungary,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Hungary,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Hungary,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Israel,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Israel,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Israel,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Israel,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Israel,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Korea,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
