country,year,sex,measure,category,method,unit,value
Australia,2023,Male,Life expectancy,Total,,Years,81.1
Australia,2022,Male,Life expectancy,Total,,Years,81.2
Australia,2019,Female,Life expectancy,Total,,Years,85
Australia,2018,Female,Life expectancy,Total,,Years,84.9
Australia,2017,Female,Life expectancy,Total,,Years,84.6
Australia,2016,Female,Life expectancy,Total,,Years,84.6
Australia,2015,Female,Life expectancy,Total,,Years,84.5
Australia,2021,Male,Life expectancy,Total,,Years,81.3
Australia,2020,Male,Life expectancy,Total,,Years,81.2
Australia,2019,Male,Life expectancy,Total,,Years,80.9
Australia,2018,Male,Life expectancy,Total,,Years,80.7
Australia,2017,Male,Life expectancy,Total,,Years,80.5
Australia,2016,Male,Life expectancy,Total,,Years,80.4
Australia,2015,Male,Life expectancy,Total,,Years,80.4
Australia,2024,Female,Life expectancy,Total,,Years,85.1
Australia,2023,Female,Life expectancy,Total,,Years,85.1
Australia,2022,Female,Life expectancy,Total,,Years,85.3
Australia,2021,Female,Life expectancy,Total,,Years,85.4
Australia,2020,Female,Life expectancy,Total,,Years,85.3
Australia,2024,Total,Life expectancy,Total,,Years,83
Australia,2023,Total,Life expectancy,Total,,Years,83
Australia,2022,Total,Life expectancy,Total,,Years,83.2
Australia,2021,Total,Life expectancy,Total,,Years,83.3
Australia,2020,Total,Life expectancy,Total,,Years,83.2
Australia,2019,Total,Life expectancy,Total,,Years,82.9
Australia,2018,Total,Life expectancy,Total,,Years,82.8
Australia,2017,Total,Life expectancy,Total,,Years,82.5
Australia,2016,Total,Life expectancy,Total,,Years,82.4
Australia,2015,Total,Life expectancy,Total,,Years,82.4
Austria,2023,Male,Life expectancy,Total,,Years,79.4
Austria,2022,Male,Life expectancy,Total,,Years,79
Austria,2019,Female,Life expectancy,Total,,Years,84.2
Austria,2018,Female,Life expectancy,Total,,Years,84
Austria,2017,Female,Life expectancy,Total,,Years,83.9
Austria,2016,Female,Life expectancy,Total,,Years,84
Austria,2015,Female,Life expectancy,Total,,Years,83.6
Austria,2021,Male,Life expectancy,Total,,Years,78.8
Austria,2020,Male,Life expectancy,Total,,Years,78.9
Austria,2019,Male,Life expectancy,Total,,Years,79.5
Austria,2018,Male,Life expectancy,Total,,Years,79.3
Austria,2017,Male,Life expectancy,Total,,Years,79.3
Austria,2016,Male,Life expectancy,Total,,Years,79.1
Austria,2015,Male,Life expectancy,Total,,Years,78.6
Austria,2024,Female,Life expectancy,Total,,Years,84.3
Austria,2023,Female,Life expectancy,Total,,Years,84.2
Austria,2022,Female,Life expectancy,Total,,Years,83.8
Austria,2021,Female,Life expectancy,Total,,Years,83.7
Austria,2020,Female,Life expectancy,Total,,Years,83.7
Austria,2024,Total,Life expectancy,Total,,Years,82.1
Austria,2023,Total,Life expectancy,Total,,Years,81.9
Austria,2022,Total,Life expectancy,Total,,Years,81.4
Austria,2021,Total,Life expectancy,Total,,Years,81.3
Austria,2020,Total,Life expectancy,Total,,Years,81.3
Austria,2019,Total,Life expectancy,Total,,Years,81.9
Austria,2018,Total,Life expectancy,Total,,Years,81.7
Austria,2017,Total,Life expectancy,Total,,Years,81.6
Austria,2016,Total,Life expectancy,Total,,Years,81.6
Austria,2015,Total,Life expectancy,Total,,Years,81.2
Belgium,2023,Male,Life expectancy,Total,,Years,80.2
Belgium,2022,Male,Life expectancy,Total,,Years,79.6
Belgium,2019,Female,Life expectancy,Total,,Years,84
Belgium,2018,Female,Life expectancy,Total,,Years,83.7
Belgium,2017,Female,Life expectancy,Total,,Years,83.7
Belgium,2016,Female,Life expectancy,Total,,Years,83.7
Belgium,2015,Female,Life expectancy,Total,,Years,83.2
Belgium,2021,Male,Life expectancy,Total,,Years,79.3
Belgium,2020,Male,Life expectancy,Total,,Years,78.5
Belgium,2019,Male,Life expectancy,Total,,Years,79.6
Belgium,2018,Male,Life expectancy,Total,,Years,79.2
Belgium,2017,Male,Life expectancy,Total,,Years,79
Belgium,2016,Male,Life expectancy,Total,,Years,78.8
Belgium,2015,Male,Life expectancy,Total,,Years,78.6
Belgium,2024,Female,Life expectancy,Total,,Years,84.4
Belgium,2023,Female,Life expectancy,Total,,Years,84.3
Belgium,2022,Female,Life expectancy,Total,,Years,83.8
Belgium,2021,Female,Life expectancy,Total,,Years,84.1
Belgium,2020,Female,Life expectancy,Total,,Years,83.1
Belgium,2024,Total,Life expectancy,Total,,Years,82.4
Belgium,2023,Total,Life expectancy,Total,,Years,82.3
Belgium,2022,Total,Life expectancy,Total,,Years,81.7
Belgium,2021,Total,Life expectancy,Total,,Years,81.7
Belgium,2020,Total,Life expectancy,Total,,Years,80.8
Belgium,2019,Total,Life expectancy,Total,,Years,81.8
Belgium,2018,Total,Life expectancy,Total,,Years,81.5
Belgium,2017,Total,Life expectancy,Total,,Years,81.4
Belgium,2016,Total,Life expectancy,Total,,Years,81.3
Belgium,2015,Total,Life expectancy,Total,,Years,80.9
Canada,2023,Male,Life expectancy,Total,,Years,79.5
Canada,2022,Male,Life expectancy,Total,,Years,78.9
Canada,2019,Female,Life expectancy,Total,,Years,84.3
Canada,2018,Female,Life expectancy,Total,,Years,84
Canada,2017,Female,Life expectancy,Total,,Years,84
Canada,2016,Female,Life expectancy,Total,,Years,84
Canada,2015,Female,Life expectancy,Total,,Years,83.9
Canada,2021,Male,Life expectancy,Total,,Years,79.1
Canada,2020,Male,Life expectancy,Total,,Years,79.3
Canada,2019,Male,Life expectancy,Total,,Years,80.1
Canada,2018,Male,Life expectancy,Total,,Years,79.8
Canada,2017,Male,Life expectancy,Total,,Years,79.7
Canada,2016,Male,Life expectancy,Total,,Years,79.9
Canada,2015,Male,Life expectancy,Total,,Years,79.9
Canada,2024,Female,Life expectancy,Total,,Years,84.3
Canada,2023,Female,Life expectancy,Total,,Years,83.9
Canada,2022,Female,Life expectancy,Total,,Years,83.4
Canada,2021,Female,Life expectancy,Total,,Years,83.9
Canada,2020,Female,Life expectancy,Total,,Years,83.8
Canada,2024,Total,Life expectancy,Total,,Years,82.2
Canada,2023,Total,Life expectancy,Total,,Years,81.7
Canada,2022,Total,Life expectancy,Total,,Years,81.1
Canada,2021,Total,Life expectancy,Total,,Years,81.5
Canada,2020,Total,Life expectancy,Total,,Years,81.6
Canada,2019,Total,Life expectancy,Total,,Years,82.2
Canada,2018,Total,Life expectancy,Total,,Years,81.9
Canada,2017,Total,Life expectancy,Total,,Years,81.9
Canada,2016,Total,Life expectancy,Total,,Years,82
Canada,2015,Total,Life expectancy,Total,,Years,81.9
Chile,2023,Male,Life expectancy,Total,,Years,78.8
Chile,2022,Male,Life expectancy,Total,,Years,77.1
Chile,2019,Female,Life expectancy,Total,,Years,83.6
Chile,2018,Female,Life expectancy,Total,,Years,83.5
Chile,2017,Female,Life expectancy,Total,,Years,83.1
Chile,2016,Female,Life expectancy,Total,,Years,83
Chile,2015,Female,Life expectancy,Total,,Years,82.7
Chile,2021,Male,Life expectancy,Total,,Years,76.4
Chile,2020,Male,Life expectancy,Total,,Years,77.1
Chile,2019,Male,Life expectancy,Total,,Years,78.4
Chile,2018,Male,Life expectancy,Total,,Years,78.3
Chile,2017,Male,Life expectancy,Total,,Years,78
Chile,2016,Male,Life expectancy,Total,,Years,77.7
Chile,2015,Male,Life expectancy,Total,,Years,77.3
Chile,2024,Female,Life expectancy,Total,,Years,83.7
Chile,2023,Female,Life expectancy,Total,,Years,83.7
Chile,2022,Female,Life expectancy,Total,,Years,82.5
Chile,2021,Female,Life expectancy,Total,,Years,82.1
Chile,2020,Female,Life expectancy,Total,,Years,82.8
Chile,2024,Total,Life expectancy,Total,,Years,81.3
Chile,2023,Total,Life expectancy,Total,,Years,81.2
Chile,2022,Total,Life expectancy,Total,,Years,79.8
Chile,2021,Total,Life expectancy,Total,,Years,79.2
Chile,2020,Total,Life expectancy,Total,,Years,79.9
Chile,2019,Total,Life expectancy,Total,,Years,80.9
Chile,2018,Total,Life expectancy,Total,,Years,80.8
Chile,2017,Total,Life expectancy,Total,,Years,80.5
Chile,2016,Total,Life expectancy,Total,,Years,80.3
Chile,2015,Total,Life expectancy,Total,,Years,79.9
Colombia,2023,Male,Life expectancy,Total,,Years,73.8
Colombia,2022,Male,Life expectancy,Total,,Years,72
Colombia,2019,Female,Life expectancy,Total,,Years,78.3
Colombia,2018,Female,Life expectancy,Total,,Years,78.1
Colombia,2017,Female,Life expectancy,Total,,Years,79.3
Colombia,2016,Female,Life expectancy,Total,,Years,79.1
Colombia,2015,Female,Life expectancy,Total,,Years,78.9
Colombia,2021,Male,Life expectancy,Total,,Years,71.3
Colombia,2020,Male,Life expectancy,Total,,Years,71.5
Colombia,2019,Male,Life expectancy,Total,,Years,72.9
Colombia,2018,Male,Life expectancy,Total,,Years,72.7
Colombia,2017,Male,Life expectancy,Total,,Years,72.7
Colombia,2016,Male,Life expectancy,Total,,Years,72.5
Colombia,2015,Male,Life expectancy,Total,,Years,72.2
Colombia,2024,Female,Life expectancy,Total,,Years,79
Colombia,2023,Female,Life expectancy,Total,,Years,78.9
